"CODE","PRODUCT","STOCK","Oct-2020","Nov-2020","Total Sales"
"SAMBHU32.59","S.S. REDUCE BARREL (SAMBHU) 3"" X 2.5"" X 9""","163","8","0","8"
"SCM18","S.S. STEP CONNECTOR 1"" X 8"" (MED.)","814","200","0","200"
"SCM1.258","S.S. STEP CONNECTOR 1.25"" X 8"" (MED.)","349","180","0","180"
"SCM1.58","S.S. STEP CONNECTOR 1.5"" X 8"" (MED.)","272","135","0","135"
"SCM29","S.S. STEP CONNECTOR 2"" X 9"" (MED.)","285","26","0","26"
"SCM2.59","S.S. STEP CONNECTOR 2.5"" X 9"" (MED.)","227","36","0","36"
"MURLI1","S.S. MURLI CONNEC. 0.75"" X 1"" X 0.75"" (MED.)","2004","230","0","230"
"MURLI1.25","S.S. MURLI CONNEC. 1"" X 1.25"" X 1"" (MED.)","1051","235","0","235"
"MURLI1.5","S.S. MURLI CONNEC. 1.25"" X 1.5"" X 1.25"" (MED.)","1232","145","0","145"
"MURLI2","S.S. MURLI CONNEC. 1.75"" X 2"" X 1.75"" (MED.)","437","86","0","86"
"MURLI2.5","S.S. MURLI CONNEC. 2.25"" X 2.5"" X 2.25"" (MED.)","183","128","0","128"
"UBCNC1.51","S.S. ULTA BUSH 1.5""X1"" (CNC TURNING)","132","0","0","0"
"UBCNC1.51.25","S.S. ULTA BUSH 1.5""X1.25"" (CNC TURNING)","148","15","0","15"
"UBCNC21.25","S.S. ULTA BUSH 2""X1.25"" (CNC TURNING)","78","0","0","0"
"UBCNC21.5","S.S. ULTA BUSH 2""X1.5"" (CNC TURNING)","115","13","0","13"
"UBCNC2.52","S.S. ULTA BUSH 2.5""X2"" (CNC TURNING)","93","15","0","15"
"UBCNC32.5","S.S. ULTA BUSH 3""X2.5"" (CNC TURNING)","76","10","0","10"
"SC6120.75","SUB. CLAMP (6 ANI - 12 X 0IIIX"")","563","0","0","0"
"HCM3.25","HOSE CLAMP 95-97 (GOLDEN) 3.25""","44","229","0","229"
"HCM5.5","HOSE CLAMP 150-158 (GOLDEN) 5.5""","30","100","0","100"
"BNM29","S.S. BARREL NIPPLE 2""X9"" (MEDIUM)","0","0","0","0"
"SNM412","S.S. STEP NIPPLE 4""X12"" (MEDIUM)","19","0","0","0"
"SCHY8142","SUB. CLAMP (50X10 - 14 X 2"") (HEAVY)","24","0","0","0"
"XYZ","RAM BHAROSE (SETTING)","-104","684","0","684"
"SCM39","S.S. STEP CONNECTOR 3"" X 9"" (MED.)","91","6","0","6"
"FB105","FOUNDATION BOLT (5/8)(10-ANI X 5')","23","0","0","0"
"FB85","FOUNDATION BOLT (1/2)(8-ANI X 5')","28","0","0","0"
"FB15","FOUNDATION BOLT (1"")(1-INCH X 5')","14","0","0","0"
"HCS","HOSE CLAMP SUMO (2.5)","50","0","0","0"
"SSNBW42.5","S.S. NUT BOLT & WASHER 1/4"" X 2.5""(200 PCS.)","0","50","0","50"
"SSNBW43","S.S. NUT BOLT & WASHER 1/4"" X 3""(150 PCS.)","0","0","0","0"
"SSNBW53.5","S.S. NUT BOLT & WASHER 5/16"" X 3.5""(100 PCS.)","0","50","0","50"
"SSNBW54","S.S. NUT BOLT & WASHER 5/16"" X 4""(75 PCS.)","0","244","0","244"
"SB52","SUB. BARI 8 MM X 2"" (5.000 KG.)","506","37","0","37"
"SB52.5","SUB. BARI 8 MM X 2.5"" (5.000 KG.)","131","18","0","18"
"MVC","MED. VACHENI PATI 26 X 0.6 MM","26","0","0","0"
"HYVC","HY. VACHENI PATI 32 X 0.6 MM","46","0","0","0"
"HYCC","HY. CLAMP COIL 24 X 2.6 MM","234","0","0","0"
"MCC","MED. CLAMP COIL 21 X 2 MM","169","10","0","10"
